# 1ST_READ.PRG suspect triage (Bucket 3 deliverable 5, 2026-07-19).
# The 555 Bucket-2 suspects (size<=4B, 0 callers) classified via flow
# reachability (tools/fn_extent.py): seed-artifact = interior to a real
# function's flow extent (over-seeding); real-function = valid start the
# detector undersized; data = pointer-table entry / non-code.
# addr	size	evidence	class
0x60412c0	4	prologue	seed-artifact
0x60412cc	4	prologue	seed-artifact
0x6041848	4	prologue	seed-artifact
0x60418f8	4	prologue	seed-artifact
0x6041dcc	4	prologue	seed-artifact
0x6041dd0	4	prologue	seed-artifact
0x6041dd4	4	prologue	seed-artifact
0x6041dd8	4	prologue	seed-artifact
0x6042004	4	prologue	seed-artifact
0x6042038	4	prologue	seed-artifact
0x604203c	4	prologue	seed-artifact
